ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\GroceryShop.Angular.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 3.1.1,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 3.1.1  Recomendação:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.1"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\GroceryShop.Angular.csproj,,,Microsoft.AspNetCore.SpaServices.Extensions 3.1.1,,,,,"Microsoft.AspNetCore.SpaServices.Extensions, 3.1.1  Recomendação:  Remove Microsoft.AspNetCore.SpaServices.Extensions, and replace with new package Microsoft.AspNetCore.SpaServices.Extensions 10.0.1"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\GroceryShop.Angular.csproj,,,Microsoft.EntityFrameworkCore.Design 3.1.1,,,,,"Microsoft.EntityFrameworkCore.Design, 3.1.1  Recomendação:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\GroceryShop.Angular.csproj,,,Microsoft.EntityFrameworkCore.Relational 3.1.1,,,,,"Microsoft.EntityFrameworkCore.Relational, 3.1.1  Recomendação:  Remove Microsoft.EntityFrameworkCore.Relational, and replace with new package Microsoft.EntityFrameworkCore.Relational 10.0.1"
Project.0002,As estruturas de destino do projeto precisam ser alteradas,Active,Mandatory,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\GroceryShop.Angular.csproj,,,,,,,,Estrutura de destino atual: netcoreapp3.1 Estrutura de destino recomendada: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,143,20,T:Microsoft.AspNetCore.SpaServices.AngularCli.AngularCliMiddlewareExtensions,,,,,"spa.UseAngularCliServer(npmScript: ""start"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,143,20,"M:Microsoft.AspNetCore.SpaServices.AngularCli.AngularCliMiddlewareExtensions.UseAngularCliServer(Microsoft.AspNetCore.SpaServices.ISpaBuilder,System.String)",,,,,"spa.UseAngularCliServer(npmScript: ""start"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,135,16,T:Microsoft.AspNetCore.SpaServices.SpaOptions,,,,,"spa.Options.SourcePath = ""ClientApp"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,135,16,P:Microsoft.AspNetCore.SpaServices.ISpaBuilder.Options,,,,,"spa.Options.SourcePath = ""ClientApp"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,135,16,P:Microsoft.AspNetCore.SpaServices.SpaOptions.SourcePath,,,,,"spa.Options.SourcePath = ""ClientApp"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GroceryShop.Angular\GroceryShop.Angular.csproj,File,GroceryShop.Angular\Startup.cs,130,12,T:Microsoft.AspNetCore.Builder.SpaApplicationBuilderExtensions,,,,,"app.UseSpa(spa =>              {                  // To learn more about options for serving an Angular SPA from ASP.NET Core,                  // see https://go.microsoft.com/fwlink/?linkid=864501                    spa.Options.SourcePath = ""ClientApp"";                    if (env.IsDevelopment())                  {                      /*                       * Comentar linha para executar o angular diretamente do angulur cli (ng build)                       * npm start - executar app                       */                      spa.UseAngularCliServer(npmScript: ""start"");                      //spa.UseProxyToSpaDevelopmentServer(""http://localhost:4200/"");                  }              });"
